Date,GLD,SPY,TLT
2023-01-04,0.0094119059589024,0.0077201751246083195,0.013699762948828909
2023-01-05,-0.012451461859522062,-0.011413404323305176,0.004180876754099838
2023-01-06,0.01870749684189077,0.02293217666501901,0.018396658358679874
2023-01-09,0.0022451175785793698,-0.0005670697595059337,0.005324081168774697
2023-01-10,0.0036760446135073455,0.007012821176794359,-0.01654979650889976
2023-01-11,-0.000686793935011365,0.012647859245089599,0.016251537005255168
2023-01-12,0.011568000967502767,0.0036408050255745117,0.019681819204867113
2023-01-13,0.012001783992939385,0.003879488535596609,-0.009372304085056515
2023-01-17,-0.00654507834469964,-0.001831833220815926,-0.006464320952478397
2023-01-18,-0.0028717524486322477,-0.015787991001294133,0.02423173402924861
2023-01-19,0.015868520044824974,-0.007279804928614797,-0.0062598130397372165
2023-01-20,-0.003335405556458948,0.018629163970079077,-0.016211145454064102
2023-01-23,0.0018964337632443318,0.011998460568801494,-0.004708184680552008
2023-01-24,0.003618515163479552,-0.001073264207500868,0.014380541732849528
2023-01-25,0.004603959599926544,0.00037473755047634505,0.0024252673758551335
2023-01-26,-0.009055266877154966,0.010990463237791737,-0.004652436041873154
2023-01-27,-0.0013929904624704337,0.002297553465780533,-0.002523551916017386
2023-01-30,-0.002566715270248765,-0.01254676266670518,-0.003654960315532474
2023-01-31,0.0036362115419990015,0.014703448067601599,0.007994608527396752
2023-02-01,0.012596814339808304,0.010627674353747896,0.012021106078989208
2023-02-02,-0.02075193653580043,0.014557004057750289,0.0012941424270014323
2023-02-03,-0.024957770292002968,-0.010629079356699322,-0.014955584287803414
2023-02-06,0.0020754098721176284,-0.006111263283659851,-0.007403917904521662
2023-02-07,0.000920425708082595,0.013078481140086362,-0.008025723407237173
2023-02-08,0.002471594120761589,-0.01093461420738484,0.004759054167969179
2023-02-09,-0.007912418174625069,-0.008669328065833315,-0.009473190344442273
2023-02-10,0.0019071943211166342,0.0023337688231663822,-0.011189559436498575
2023-02-13,-0.005076170279846859,0.011738884138962735,0.0084145778716187
2023-02-14,0.0007537389032514774,-0.00046012521852478727,-0.002301764060640199
2023-02-15,-0.00996466725346834,0.0032473548943152686,-0.009325208933720575
2023-02-16,-0.0008192368783922488,-0.013768793252403877,-0.014167717637375676
2023-02-17,0.002986790669610162,-0.0024982688488462967,0.0077760782365703385
2023-02-21,-0.003737004613899475,-0.020060907166597364,-0.019437167653030052
2023-02-22,-0.005626488586046308,-0.0013782050566197857,0.009163956673465146
2023-02-23,-0.0005304511136865475,0.005319459095135981,0.009772120249524452
2023-02-24,-0.00719467575637045,-0.010682339002157537,-0.013000581645207343
2023-02-27,0.003920334893926292,0.003405863742802273,0.0027729338316431207
2023-02-28,0.00455596886271592,-0.0036961311042410516,0.004542802013121738
2023-03-01,0.005772150633673867,-0.0038357299214247798,-0.010743012129218243
2023-03-02,-0.0005855636445488699,0.007777370070040535,-0.008867218188187587
2023-03-03,0.010723085619275707,0.016037752986082676,0.02422607635092744
2023-03-06,-0.005043830646819902,0.000692536538528632,-0.007753525505441283
2023-03-07,-0.017480480627863337,-0.015328678796335149,0.006132806213081654
2023-03-08,-0.00047445044105887124,0.0016321051606782433,0.0009829652312909332
2023-03-09,0.009849316056938173,-0.018449788149710433,0.0024551701778514623
2023-03-10,0.021562856843419187,-0.014429446500080934,0.0344861734351769
2023-03-13,0.022948211912439564,-0.0014253574715532569,0.0022730959752728097
2023-03-14,-0.005791064746217711,0.01653004049302731,-0.016441443968954417
2023-03-15,0.007804133170404848,-0.006254086114261259,0.019310378025853225
2023-03-16,0.002020092008242713,0.017545007390969758,-0.007823262731144753
2023-03-17,0.02912021467748982,-0.011692613283115993,0.015009154363744726
2023-03-20,0.0003808677357699519,0.009615699720260107,-0.008797182396288794
2023-03-21,-0.018875115806276432,0.013130427484720597,-0.008592380263267696
2023-03-22,0.01702060989813825,-0.01704642569867343,0.013333448918842139
2023-03-23,0.012538176085624908,0.002703338139357747,0.0
2023-03-24,-0.011252350246951037,0.006561987609382536,0.004229190720385745
2023-03-27,-0.009256722051406152,0.0018700033544025718,-0.023490767343647856
2023-03-28,0.008189093257242153,-0.0022448385749426203,0.0018208537773660716
2023-03-29,-0.00496077000653139,0.014534736442465501,-0.0020092837734329017
2023-03-30,0.009039576549164652,0.005855383469777653,0.004601455899217122
2023-03-31,-0.005212246135594234,0.01409463520580978,0.01498100821288606
2023-04-03,0.007204410308019105,0.003810529365423143,0.004703233772722859
2023-04-04,0.018640958960437715,-0.005548052498062894,0.00497161297408466
2023-04-05,-0.0007979247786651378,-0.0026181608124515865,0.010454521129999339
2023-04-06,-0.007134091065472581,0.0039007879068728712,0.002586668615734533
2023-04-10,-0.007399886547073353,0.0010263565064787539,-0.016124610365537584
2023-04-11,0.006320556237305208,0.0002686555539270774,0.0020600375550539063
2023-04-12,0.004885138866613126,-0.004076043312981614,-0.0010276992297629794
2023-04-13,0.013515672558895409,0.013282685846309095,-0.007858333995333533
2023-04-14,-0.017710313033589165,-0.002442727669612621,-0.009146810052032772
